population;site;sample_type;substrate;L;Z;structure;species;hybride_score
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.547;hybrid;4
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.972;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.947;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.971;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.988;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.374;hybrid;3
umba_pil;umba_pil;unsystematic;any;NA;NA;0.94;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.873;hybrid;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.984;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.969;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.043;edulis;1
umba_pil;umba_pil;unsystematic;any;NA;NA;0.909;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.053;edulis;1
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.97;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.946;trossulus;7
umba_bridge;umba_bridge;unsystematic;any;22.5;1.032608696;0.011;edulis;0
